IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.28.201,4,4,0.00,242.40,79.05
104.16.26.160,4,4,0.00,240.87,72.23
104.18.237.181,4,4,0.00,242.08,51.63
103.160.204.10,4,4,0.00,243.49,51.31
104.16.5.103,4,4,0.00,242.02,45.49
23.227.38.105,4,4,0.00,241.02,44.25
104.16.30.232,4,4,0.00,239.14,41.40
104.16.6.202,4,4,0.00,243.62,36.52
104.16.25.217,4,4,0.00,240.90,35.75
104.16.146.12,4,4,0.00,242.85,34.56
104.16.90.80,4,4,0.00,243.27,31.83
45.159.219.249,4,4,0.00,239.61,31.77
104.16.79.56,4,4,0.00,241.25,30.95
104.16.75.28,4,4,0.00,243.53,30.91
91.193.58.54,4,4,0.00,241.61,30.31
45.142.120.20,4,4,0.00,243.76,30.13
104.16.50.95,4,4,0.00,242.47,29.31
104.16.82.105,4,4,0.00,238.79,29.24
45.159.218.91,4,4,0.00,243.25,28.71
104.16.203.63,4,4,0.00,242.60,28.24
104.16.108.70,4,4,0.00,243.23,27.15
89.116.250.205,4,4,0.00,241.22,25.81
104.16.15.4,4,4,0.00,240.11,25.75
104.16.29.73,4,4,0.00,240.06,25.39
104.16.87.234,4,4,0.00,241.12,25.26
104.18.238.38,4,4,0.00,240.71,21.81
23.227.60.1,4,4,0.00,240.01,21.59
104.16.12.237,4,4,0.00,242.06,20.33
104.16.23.119,4,4,0.00,239.74,13.20
104.18.241.157,4,4,0.00,241.80,12.69
